Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
            364	         6	80000080	50362437	lui	x8,0x50362	  x8=0x50362000
            424	         9	80000084	08440413	addi	x8,x8,132	  x8:0x50362000  x8=0x50362084
            484	        12	80000088	fe5674b7	lui	x9,0xfe567	  x9=0xfe567000
            544	        15	8000008c	96348493	addi	x9,x9,-1693	  x9:0xfe567000  x9=0xfe566963
            604	        18	80000090	4515	c.li	x10,5	 x10=0x00000005
            624	        19	80000092	4581	c.li	x11,0	 x11=0x00000000
            664	        21	80000094	fcf29637	lui	x12,0xfcf29	 x12=0xfcf29000
            724	        24	80000098	f0260613	addi	x12,x12,-254	 x12:0xfcf29000 x12=0xfcf28f02
            784	        27	8000009c	fd74a6b7	lui	x13,0xfd74a	 x13=0xfd74a000
            844	        30	800000a0	d2168693	addi	x13,x13,-735	 x13:0xfd74a000 x13=0xfd749d21
            904	        33	800000a4	80000737	lui	x14,0x80000	 x14=0x80000000
            964	        36	800000a8	800007b7	lui	x15,0x80000	 x15=0x80000000
           1024	        39	800000ac	50bdb837	lui	x16,0x50bdb	 x16=0x50bdb000
           1084	        42	800000b0	fb380813	addi	x16,x16,-77	 x16:0x50bdb000 x16=0x50bdafb3
           1144	        45	800000b4	4881	c.li	x17,0	 x17=0x00000000
           1164	        46	800000b6	4905	c.li	x18,1	 x18=0x00000001
           1204	        48	800000b8	4991	c.li	x19,4	 x19=0x00000004
           1224	        49	800000ba	4a01	c.li	x20,0	 x20=0x00000000
           1264	        51	800000bc	80000ab7	lui	x21,0x80000	 x21=0x80000000
           1324	        54	800000c0	4b01	c.li	x22,0	 x22=0x00000000
           1384	        57	800000c2	ff3c4bb7	lui	x23,0xff3c4	 x23=0xff3c4000
           1444	        60	800000c6	9c1b8b93	addi	x23,x23,-1599	 x23:0xff3c4000 x23=0xff3c39c1
           1504	        63	800000ca	f9d50c37	lui	x24,0xf9d50	 x24=0xf9d50000
           1564	        66	800000ce	f27c0c13	addi	x24,x24,-217	 x24:0xf9d50000 x24=0xf9d4ff27
           1624	        69	800000d2	6eec0cb7	lui	x25,0x6eec0	 x25=0x6eec0000
           1684	        72	800000d6	87dc8c93	addi	x25,x25,-1923	 x25:0x6eec0000 x25=0x6eebf87d
           1744	        75	800000da	80000db7	lui	x27,0x80000	 x27=0x80000000
           1804	        78	800000de	80000e37	lui	x28,0x80000	 x28=0x80000000
           1864	        81	800000e2	f377ceb7	lui	x29,0xf377c	 x29=0xf377c000
           1924	        84	800000e6	6dee8e93	addi	x29,x29,1758	 x29:0xf377c000 x29=0xf377c6de
           1984	        87	800000ea	ff058fb7	lui	x31,0xff058	 x31=0xff058000
           2044	        90	800000ee	b01f8f93	addi	x31,x31,-1279	 x31:0xff058000 x31=0xff057b01
           2104	        93	800000f2	0000bd17	auipc	x26,0xb	 x26=0x8000b0f2
           2164	        96	800000f6	d72d0d13	addi	x26,x26,-654	 x26:0x8000b0f2 x26=0x8000ae64
           2184	        97	800000fa	4e85	c.li	x29,1	 x29=0x00000001
           2224	        99	800000fc	4e01	c.li	x28,0	 x28=0x00000000
           2244	       100	800000fe	4c81	c.li	x25,0	 x25=0x00000000
           2284	       102	80000100	4181	c.li	x3,0	  x3=0x00000000
           2344	       105	80000102	07b986b7	lui	x13,0x7b98	 x13=0x07b98000
           2404	       108	80000106	9e468693	addi	x13,x13,-1564	 x13:0x07b98000 x13=0x07b979e4
           2424	       109	8000010a	4605	c.li	x12,1	 x12=0x00000001
           2464	       111	8000010c	7ee20c37	lui	x24,0x7ee20	 x24=0x7ee20000
           2524	       114	80000110	c92c0c13	addi	x24,x24,-878	 x24:0x7ee20000 x24=0x7ee1fc92
           2584	       117	80000114	53051537	lui	x10,0x53051	 x10=0x53051000
           2644	       120	80000118	37a50513	addi	x10,x10,890	 x10:0x53051000 x10=0x5305137a
           2704	       123	8000011c	4885	c.li	x17,1	 x17=0x00000001
           2724	       124	8000011e	4405	c.li	x8,1	  x8=0x00000001
           2764	       126	80000120	4095	c.li	x1,5	  x1=0x00000005
           2824	       129	80000122	003d8b33	add	x22,x27,x3	 x27:0x80000000  x3:0x00000000 x22=0x80000000
           2844	       130	80000126	69e1	c.lui	x19,0x18	 x19=0x00018000
           2884	       132	80000128	587d	c.li	x16,-1	 x16=0xffffffff
           2904	       133	8000012a	9896	c.add	x17,x5	 x17:0x00000001  x5:0x00000000 x17=0x00000001
           2944	       135	8000012c	5c7d	c.li	x24,-1	 x24=0xffffffff
           3064	       141	8000012e	0286b8b3	mulhu	x17,x13,x8	 x13:0x07b979e4  x8:0x00000001 x17=0x00000000
           3084	       142	80000132	ef955e37	lui	x28,0xef955	 x28=0xef955000
           3124	       144	80000136	25ecd3b7	lui	x7,0x25ecd	  x7=0x25ecd000
           3144	       145	8000013a	8e99	c.sub	x13,x14	 x13:0x07b979e4 x14:0x80000000 x13=0x87b979e4
           3184	       147	8000013c	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
           3204	       148	8000013e	49f9	c.li	x19,30	 x19=0x0000001e
           3244	       150	80000140	0494	c.addi4spn	x13,x2,576	 x13=0x00000240
           3264	       151	80000142	62f5	c.lui	x5,0x1d	  x5=0x0001d000
           3304	       153	80000144	63f5	c.lui	x7,0x1d	  x7=0x0001d000
           3324	       154	80000146	4e81	c.li	x29,0	 x29=0x00000000
           3364	       156	80000148	74eb1e37	lui	x28,0x74eb1	 x28=0x74eb1000
           3424	       159	8000014c	ec5e0e13	addi	x28,x28,-315	 x28:0x74eb1000 x28=0x74eb0ec5
           3484	       162	80000150	4d85	c.li	x27,1	 x27=0x00000001
           3504	       163	80000152	4b85	c.li	x23,1	 x23=0x00000001
           3544	       165	80000154	4c81	c.li	x25,0	 x25=0x00000000
           3564	       166	80000156	4481	c.li	x9,0	  x9=0x00000000
           3604	       168	80000158	4c05	c.li	x24,1	 x24=0x00000001
           3624	       169	8000015a	4581	c.li	x11,0	 x11=0x00000000
           3664	       171	8000015c	64eab3b7	lui	x7,0x64eab	  x7=0x64eab000
           3724	       174	80000160	7ed38393	addi	x7,x7,2029	  x7:0x64eab000  x7=0x64eab7ed
           3784	       177	80000164	5eeca9b7	lui	x19,0x5eeca	 x19=0x5eeca000
           3844	       180	80000168	f5598993	addi	x19,x19,-171	 x19:0x5eeca000 x19=0x5eec9f55
           3944	       185	8000016c	021e0b33	mul	x22,x28,x1	 x28:0x74eb0ec5  x1:0x00000005 x22=0x489749d9
           3964	       186	80000170	11fd	c.addi	x3,-1	  x3:0x00000000  x3=0xffffffff
           4024	       189	80000172	8047c017	auipc	x0,0x8047c	  x0=0x00000000
           4084	       192	80000176	94d30193	addi	x3,x6,-1715	  x6:0x00000000  x3=0xfffff94d
           4864	       231	8000017a	03c669b3	rem	x19,x12,x28	 x12:0x00000001 x28:0x74eb0ec5 x19=0x00000001
           4884	       232	8000017e	0bb9	c.addi	x23,14	 x23:0x00000001 x23=0x0000000f
           4904	       233	80000180	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
           4984	       237	80000182	025cb5b3	mulhu	x11,x25,x5	 x25:0x00000000  x5:0x0001d000 x11=0x00000000
           5724	       274	80000186	02eb4133	div	x2,x22,x14	 x22:0x489749d9 x14:0x80000000  x2=0x00000000
           5744	       275	8000018a	242e0913	addi	x18,x28,578	 x28:0x74eb0ec5 x18=0x74eb1107
           5764	       276	8000018e	418b84b3	sub	x9,x23,x24	 x23:0x0000000f x24:0x00000001  x9=0x0000000e
           5784	       277	80000192	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
           5824	       279	80000194	8e95	c.sub	x13,x13	 x13:0x00000240 x13:0x00000240 x13=0x00000000
           5944	       285	80000196	021125b3	mulhsu	x11,x2,x1	  x2:0x00000000  x1:0x00000005 x11=0x00000000
           5964	       286	8000019a	411d	c.li	x2,7	  x2=0x00000007
           5984	       287	8000019c	1494	c.addi4spn	x13,x2,608	 x13=0x00000267
           6004	       288	8000019e	55fd	c.li	x11,-1	 x11=0xffffffff
           6084	       292	800001a0	0228a7b3	mulhsu	x15,x17,x2	 x17:0x00000000  x2:0x00000007 x15=0x00000000
           6104	       293	800001a4	62bd	c.lui	x5,0xf	  x5=0x0000f000
           6124	       294	800001a6	ad2fb517	auipc	x10,0xad2fb	 x10=0x2d2fb1a6
           6144	       295	800001aa	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
           6184	       297	800001ac	07d9	c.addi	x15,22	 x15:0x00000000 x15=0x00000016
           6204	       298	800001ae	1494	c.addi4spn	x13,x2,608	 x13=0x00000267
           6284	       302	800001b0	029c8ab3	mul	x21,x25,x9	 x25:0x00000000  x9:0x0000000e x21=0x00000000
           6304	       303	800001b4	12078b37	lui	x22,0x12078	 x22=0x12078000
           6364	       306	800001b8	0b4d	c.addi	x22,19	 x22:0x12078000 x22=0x12078013
           6384	       307	800001ba	4e85	c.li	x29,1	 x29=0x00000001
           6424	       309	800001bc	6ebb2e37	lui	x28,0x6ebb2	 x28=0x6ebb2000
           6484	       312	800001c0	50be0e13	addi	x28,x28,1291	 x28:0x6ebb2000 x28=0x6ebb250b
           6544	       315	800001c4	4a85	c.li	x21,1	 x21=0x00000001
           6564	       316	800001c6	4705	c.li	x14,1	 x14=0x00000001
           6604	       318	800001c8	4d85	c.li	x27,1	 x27=0x00000001
           6624	       319	800001ca	4c01	c.li	x24,0	 x24=0x00000000
           6664	       321	800001cc	4c85	c.li	x25,1	 x25=0x00000001
           6684	       322	800001ce	4501	c.li	x10,0	 x10=0x00000000
           6724	       324	800001d0	4585	c.li	x11,1	 x11=0x00000001
           7504	       363	800001d2	02755eb3	divu	x29,x10,x7	 x10:0x00000000  x7:0x64eab7ed x29=0x00000000
           8244	       400	800001d6	032a6433	rem	x8,x20,x18	 x20:0x00000000 x18:0x74eb1107  x8=0x00000000
           8264	       401	800001da	c8f98c13	addi	x24,x19,-881	 x19:0x00000001 x24=0xfffffc90
           8284	       402	800001de	6a45	c.lui	x20,0x11	 x20=0x00011000
           8304	       403	800001e0	04af8513	addi	x10,x31,74	 x31:0xff057b01 x10=0xff057b4b
           8344	       405	800001e4	808a	c.mv	x1,x2	  x0:0x00000000  x2:0x00000007  x1=0x00000007
           8364	       406	800001e6	996a	c.add	x18,x26	 x18:0x74eb1107 x26:0x8000ae64 x18=0xf4ebbf6b
           8424	       409	800001e8	0264c9b3	div	x19,x9,x6	  x9:0x0000000e  x6:0x00000000 x19=0xffffffff
           8464	       411	800001ec	9cb706b7	lui	x13,0x9cb70	 x13=0x9cb70000
           8524	       414	800001f0	01418cb3	add	x25,x3,x20	  x3:0xfffff94d x20:0x00011000 x25=0x0001094d
           8584	       417	800001f4	2be08913	addi	x18,x1,702	  x1:0x00000007 x18=0x000002c5
           8644	       420	800001f8	60f5	c.lui	x1,0x1d	  x1=0x0001d000
           8664	       421	800001fa	9b3e	c.add	x22,x15	 x22:0x12078013 x15:0x00000016 x22=0x12078029
           8704	       423	800001fc	56fd	c.li	x13,-1	 x13=0xffffffff
           8724	       424	800001fe	8e95	c.sub	x13,x13	 x13:0xffffffff x13:0xffffffff x13=0x00000000
           8764	       426	80000200	717d	c.addi16sp	x2,-16	  x2:0x00000007  x2=0xfffffff7
           8784	       427	80000202	8f95	c.sub	x15,x13	 x15:0x00000016 x13:0x00000000 x15=0x00000016
           8824	       429	80000204	029d	c.addi	x5,7	  x5:0x0000f000  x5=0x0000f007
           8884	       432	80000206	cc618013	addi	x0,x3,-826	  x3:0xfffff94d  x0=0x00000000
           8944	       435	8000020a	e90ea1b7	lui	x3,0xe90ea	  x3=0xe90ea000
           9004	       438	8000020e	03c90b93	addi	x23,x18,60	 x18:0x000002c5 x23=0x00000301
           9784	       477	80000212	023c47b3	div	x15,x24,x3	 x24:0xfffffc90  x3:0xe90ea000 x15=0x00000000
           9864	       481	80000216	02151433	mulh	x8,x10,x1	 x10:0xff057b4b  x1:0x0001d000  x8=0xfffffe39
           9884	       482	8000021a	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
           9904	       483	8000021c	52fd	c.li	x5,-1	  x5=0xffffffff
           9924	       484	8000021e	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
           9944	       485	80000220	6ca9	c.lui	x25,0xa	 x25=0x0000a000
           9964	       486	80000222	4e81	c.li	x29,0	 x29=0x00000000
           9984	       487	80000224	4e01	c.li	x28,0	 x28=0x00000000
          10004	       488	80000226	4c81	c.li	x25,0	 x25=0x00000000
          10024	       489	80000228	4981	c.li	x19,0	 x19=0x00000000
          10044	       490	8000022a	4d81	c.li	x27,0	 x27=0x00000000
          10084	       492	8000022c	4585	c.li	x11,1	 x11=0x00000001
          10104	       493	8000022e	4185	c.li	x3,1	  x3=0x00000001
          10144	       495	80000230	48871537	lui	x10,0x48871	 x10=0x48871000
          10204	       498	80000234	5b950513	addi	x10,x10,1465	 x10:0x48871000 x10=0x488715b9
          10264	       501	80000238	4701	c.li	x14,0	 x14=0x00000000
          10284	       502	8000023a	4101	c.li	x2,0	  x2=0x00000000
          10324	       504	8000023c	6275	c.lui	x4,0x1d	  x4=0x0001d000
          10344	       505	8000023e	82be	c.mv	x5,x15	  x0:0x00000000 x15:0x00000000  x5=0x00000000
          10384	       507	80000240	4125	c.li	x2,9	  x2=0x00000009
          10404	       508	80000242	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          10464	       511	80000244	02e64333	div	x6,x12,x14	 x12:0x00000001 x14:0x00000000  x6=0xffffffff
          10504	       513	80000248	613d	c.addi16sp	x2,480	  x2:0x00000009  x2=0x000001e9
          10624	       519	8000024a	03639033	mulh	x0,x7,x22	  x7:0x64eab7ed x22:0x12078029  x0=0x00000000
          10644	       520	8000024e	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          10664	       521	80000250	717d	c.addi16sp	x2,-16	  x2:0x000001e9  x2=0x000001d9
          10744	       525	80000252	03a535b3	mulhu	x11,x10,x26	 x10:0x488715b9 x26:0x8000ae64 x11=0x2443bc44
          10824	       529	80000256	02b439b3	mulhu	x19,x8,x11	  x8:0xfffffe39 x11:0x2443bc44 x19=0x2443bc03
          10844	       530	8000025a	6c89	c.lui	x25,0x2	 x25=0x00002000
          10864	       531	8000025c	859a	c.mv	x11,x6	  x0:0x00000000  x6:0xffffffff x11=0xffffffff
          10924	       534	8000025e	02428033	mul	x0,x5,x4	  x5:0x00000000  x4:0x0001d000  x0=0x00000000
          10944	       535	80000262	9b3e	c.add	x22,x15	 x22:0x12078029 x15:0x00000000 x22=0x12078029
          11024	       539	80000264	02752633	mulhsu	x12,x10,x7	 x10:0x488715b9  x7:0x64eab7ed x12=0x1c974411
          11044	       540	80000268	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          11064	       541	8000026a	50fd	c.li	x1,-1	  x1=0xffffffff
          11084	       542	8000026c	0394	c.addi4spn	x13,x2,448	 x13=0x00000399
          11144	       545	8000026e	02618333	mul	x6,x3,x6	  x3:0x00000001  x6:0xffffffff  x6=0xffffffff
          11164	       546	80000272	01d68633	add	x12,x13,x29	 x13:0x00000399 x29:0x00000000 x12=0x00000399
          11184	       547	80000276	0494	c.addi4spn	x13,x2,576	 x13=0x00000419
          11224	       549	80000278	6871	c.lui	x16,0x1c	 x16=0x0001c000
          11284	       552	8000027a	41fc2337	lui	x6,0x41fc2	  x6=0x41fc2000
          12064	       591	8000027e	0261d233	divu	x4,x3,x6	  x3:0x00000001  x6:0x41fc2000  x4=0x00000000
          12084	       592	80000282	1ce08a93	addi	x21,x1,462	  x1:0xffffffff x21=0x000001cd
          12104	       593	80000286	15fd	c.addi	x11,-1	 x11:0xffffffff x11=0xfffffffe
          12124	       594	80000288	291f3db7	lui	x27,0x291f3	 x27=0x291f3000
          12184	       597	8000028c	0cbd8d93	addi	x27,x27,203	 x27:0x291f3000 x27=0x291f30cb
          12244	       600	80000290	41dbbeb7	lui	x29,0x41dbb	 x29=0x41dbb000
          12304	       603	80000294	d27e8e93	addi	x29,x29,-729	 x29:0x41dbb000 x29=0x41dbad27
          12364	       606	80000298	4e01	c.li	x28,0	 x28=0x00000000
          12384	       607	8000029a	4c81	c.li	x25,0	 x25=0x00000000
          12424	       609	8000029c	4c01	c.li	x24,0	 x24=0x00000000
          12444	       610	8000029e	4601	c.li	x12,0	 x12=0x00000000
          12484	       612	800002a0	4781	c.li	x15,0	 x15=0x00000000
          12544	       615	800002a2	1974a5b7	lui	x11,0x1974a	 x11=0x1974a000
          12604	       618	800002a6	8e058593	addi	x11,x11,-1824	 x11:0x1974a000 x11=0x197498e0
          12624	       619	800002aa	4805	c.li	x16,1	 x16=0x00000001
          12664	       621	800002ac	45c586b7	lui	x13,0x45c58	 x13=0x45c58000
          12724	       624	800002b0	5aa68693	addi	x13,x13,1450	 x13:0x45c58000 x13=0x45c585aa
          12784	       627	800002b4	0594	c.addi4spn	x13,x2,704	 x13=0x00000499
          12844	       630	800002b6	ab94edb7	lui	x27,0xab94e	 x27=0xab94e000
          12864	       631	800002ba	0284	c.addi4spn	x9,x2,320	  x9=0x00000319
          12904	       633	800002bc	4c95	c.li	x25,5	 x25=0x00000005
          13024	       639	800002be	03b61433	mulh	x8,x12,x27	 x12:0x00000000 x27:0xab94e000  x8=0x00000000
          13044	       640	800002c2	8e95	c.sub	x13,x13	 x13:0x00000499 x13:0x00000499 x13=0x00000000
          13064	       641	800002c4	911a	c.add	x2,x6	  x2:0x000001d9  x6:0x41fc2000  x2=0x41fc21d9
          13084	       642	800002c6	41e38033	sub	x0,x7,x30	  x7:0x64eab7ed x30:0x00000000  x0=0x00000000
          13104	       643	800002ca	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          13144	       645	800002cc	016900b3	add	x1,x18,x22	 x18:0x000002c5 x22:0x12078029  x1=0x120782ee
          13264	       651	800002d0	0241b9b3	mulhu	x19,x3,x4	  x3:0x00000001  x4:0x00000000 x19=0x00000000
          13284	       652	800002d4	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          13344	       655	800002d6	0338c433	div	x8,x17,x19	 x17:0x00000000 x19:0x00000000  x8=0xffffffff
          13444	       660	800002da	02991cb3	mulh	x25,x18,x9	 x18:0x000002c5  x9:0x00000319 x25=0x00000000
          14184	       697	800002de	0300e3b3	rem	x7,x1,x16	  x1:0x120782ee x16:0x00000001  x7=0x00000000
          14204	       698	800002e2	50fd	c.li	x1,-1	  x1=0xffffffff
          14224	       699	800002e4	e62be5b7	lui	x11,0xe62be	 x11=0xe62be000
          14244	       700	800002e8	8e95	c.sub	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
          14264	       701	800002ea	8f15	c.sub	x14,x13	 x14:0x00000000 x13:0x00000000 x14=0x00000000
          14284	       702	800002ec	4081	c.li	x1,0	  x1=0x00000000
          14304	       703	800002ee	4e81	c.li	x29,0	 x29=0x00000000
          14344	       705	800002f0	2d9c6e37	lui	x28,0x2d9c6	 x28=0x2d9c6000
          14404	       708	800002f4	8a8e0e13	addi	x28,x28,-1880	 x28:0x2d9c6000 x28=0x2d9c58a8
          14464	       711	800002f8	22927db7	lui	x27,0x22927	 x27=0x22927000
          14524	       714	800002fc	d55d8d93	addi	x27,x27,-683	 x27:0x22927000 x27=0x22926d55
          14584	       717	80000300	07398437	lui	x8,0x7398	  x8=0x07398000
          14644	       720	80000304	20d40413	addi	x8,x8,525	  x8:0x07398000  x8=0x0739820d
          14704	       723	80000308	4c05	c.li	x24,1	 x24=0x00000001
          14764	       726	8000030a	26a9f637	lui	x12,0x26a9f	 x12=0x26a9f000
          14824	       729	8000030e	9b260613	addi	x12,x12,-1614	 x12:0x26a9f000 x12=0x26a9e9b2
          14844	       730	80000312	4181	c.li	x3,0	  x3=0x00000000
          14884	       732	80000314	4885	c.li	x17,1	 x17=0x00000001
          14904	       733	80000316	4c81	c.li	x25,0	 x25=0x00000000
          14944	       735	80000318	d4b10993	addi	x19,x2,-693	  x2:0x41fc21d9 x19=0x41fc1f24
          15004	       738	8000031c	0094	c.addi4spn	x13,x2,64	 x13=0x41fc2219
          15124	       744	8000031e	027b2033	mulhsu	x0,x22,x7	 x22:0x12078029  x7:0x00000000  x0=0x00000000
          15144	       745	80000322	6e3d	c.lui	x28,0xf	 x28=0x0000f000
          15164	       746	80000324	06eba017	auipc	x0,0x6eba	  x0=0x00000000
          15904	       783	80000328	0386edb3	rem	x27,x13,x24	 x13:0x41fc2219 x24:0x00000001 x27=0x00000000
          15924	       784	8000032c	0121	c.addi	x2,8	  x2:0x41fc21d9  x2=0x41fc21e1
          16664	       821	8000032e	0373dbb3	divu	x23,x7,x23	  x7:0x00000000 x23:0x00000301 x23=0x00000000
          16684	       822	80000332	0094	c.addi4spn	x13,x2,64	 x13=0x41fc2221
          16704	       823	80000334	921e	c.add	x4,x7	  x4:0x00000000  x7:0x00000000  x4=0x00000000
          16744	       825	80000336	02485033	divu	x0,x16,x4	 x16:0x00000001  x4:0x00000000  x0=0x00000000
          16764	       826	8000033a	57fd	c.li	x15,-1	 x15=0xffffffff
          17504	       863	8000033c	03f3e133	rem	x2,x7,x31	  x7:0x00000000 x31:0xff057b01  x2=0x00000000
          17524	       864	80000340	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          17544	       865	80000342	6351	c.lui	x6,0x14	  x6=0x00014000
          17564	       866	80000344	167d	c.addi	x12,-1	 x12:0x26a9e9b2 x12=0x26a9e9b1
          17584	       867	80000346	4fbc1eb7	lui	x29,0x4fbc1	 x29=0x4fbc1000
          17644	       870	8000034a	bcfe8e93	addi	x29,x29,-1073	 x29:0x4fbc1000 x29=0x4fbc0bcf
          17664	       871	8000034e	4e01	c.li	x28,0	 x28=0x00000000
          17704	       873	80000350	4c81	c.li	x25,0	 x25=0x00000000
          17724	       874	80000352	4c01	c.li	x24,0	 x24=0x00000000
          17764	       876	80000354	4d85	c.li	x27,1	 x27=0x00000001
          17784	       877	80000356	4481	c.li	x9,0	  x9=0x00000000
          17824	       879	80000358	4401	c.li	x8,0	  x8=0x00000000
          17844	       880	8000035a	4781	c.li	x15,0	 x15=0x00000000
          17884	       882	8000035c	4885	c.li	x17,1	 x17=0x00000001
          17904	       883	8000035e	4b81	c.li	x23,0	 x23=0x00000000
          17944	       885	80000360	d0378013	addi	x0,x15,-765	 x15:0x00000000  x0=0x00000000
          18064	       891	80000364	02a31cb3	mulh	x25,x6,x10	  x6:0x00014000 x10:0x488715b9 x25=0x00005aa8
          18104	       893	80000368	024345b3	div	x11,x6,x4	  x6:0x00014000  x4:0x00000000 x11=0xffffffff
          18124	       894	8000036c	003482b3	add	x5,x9,x3	  x9:0x00000000  x3:0x00000000  x5=0x00000000
          18184	       897	80000370	127d	c.addi	x4,-1	  x4:0x00000000  x4=0xffffffff
          18204	       898	80000372	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          18244	       900	80000374	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          18304	       903	80000376	40648cb3	sub	x25,x9,x6	  x9:0x00000000  x6:0x00014000 x25=0xfffec000
          18324	       904	8000037a	8e81	c.sub	x13,x8	 x13:0x41fc2221  x8:0x00000000 x13=0x41fc2221
          18364	       906	8000037c	414d8933	sub	x18,x27,x20	 x27:0x00000001 x20:0x00011000 x18=0xfffef001
          19144	       945	80000380	039869b3	rem	x19,x16,x25	 x16:0x00000001 x25:0xfffec000 x19=0x00000001
          19184	       947	80000384	021fd8b3	divu	x17,x31,x1	 x31:0xff057b01  x1:0x00000000 x17=0xffffffff
          19204	       948	80000388	41de0bb3	sub	x23,x28,x29	 x28:0x00000000 x29:0x4fbc0bcf x23=0xb043f431
          19284	       952	8000038c	034f97b3	mulh	x15,x31,x20	 x31:0xff057b01 x20:0x00011000 x15=0xfffffef5
          19344	       955	80000390	03f78db3	mul	x27,x15,x31	 x15:0xfffffef5 x31:0xff057b01 x27=0x0548b5f5
          19364	       956	80000394	999d8313	addi	x6,x27,-1639	 x27:0x0548b5f5  x6=0x0548af8e
          19384	       957	80000398	717d	c.addi16sp	x2,-16	  x2:0x00000000  x2=0xfffffff0
          19444	       960	8000039a	f072c037	lui	x0,0xf072c	  x0=0x00000000
          19504	       963	8000039e	97c45217	auipc	x4,0x97c45	  x4=0x17c4539e
          19564	       966	800003a2	0ef447b7	lui	x15,0xef44	 x15=0x0ef44000
          19584	       967	800003a6	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          19624	       969	800003a8	4e81	c.li	x29,0	 x29=0x00000000
          19644	       970	800003aa	4501	c.li	x10,0	 x10=0x00000000
          19684	       972	800003ac	4c5d1e37	lui	x28,0x4c5d1	 x28=0x4c5d1000
          19744	       975	800003b0	a45e0e13	addi	x28,x28,-1467	 x28:0x4c5d1000 x28=0x4c5d0a45
          19804	       978	800003b4	4c01	c.li	x24,0	 x24=0x00000000
          19824	       979	800003b6	4b85	c.li	x23,1	 x23=0x00000001
          19864	       981	800003b8	4401	c.li	x8,0	  x8=0x00000000
          19924	       984	800003ba	03c3e637	lui	x12,0x3c3e	 x12=0x03c3e000
          19984	       987	800003be	76160613	addi	x12,x12,1889	 x12:0x03c3e000 x12=0x03c3e761
          20004	       988	800003c2	4701	c.li	x14,0	 x14=0x00000000
          20044	       990	800003c4	4c81	c.li	x25,0	 x25=0x00000000
          20064	       991	800003c6	4d81	c.li	x27,0	 x27=0x00000000
          20104	       993	800003c8	80a6	c.mv	x1,x9	  x0:0x00000000  x9:0x00000000  x1=0x00000000
          20124	       994	800003ca	8e95	c.sub	x13,x13	 x13:0x41fc2221 x13:0x41fc2221 x13=0x00000000
          20164	       996	800003cc	8c15	c.sub	x8,x13	  x8:0x00000000 x13:0x00000000  x8=0x00000000
          20244	      1000	800003ce	02eed533	divu	x10,x29,x14	 x29:0x00000000 x14:0x00000000 x10=0xffffffff
          20264	      1001	800003d2	0114	c.addi4spn	x13,x2,128	 x13=0x00000070
          20284	      1002	800003d4	8e95	c.sub	x13,x13	 x13:0x00000070 x13:0x00000070 x13=0x00000000
          20304	      1003	800003d6	6c11	c.lui	x24,0x4	 x24=0x00004000
          20344	      1005	800003d8	9206	c.add	x4,x1	  x4:0x17c4539e  x1:0x00000000  x4=0x17c4539e
          20424	      1009	800003da	027d47b3	div	x15,x26,x7	 x26:0x8000ae64  x7:0x00000000 x15=0xffffffff
          20464	      1011	800003de	a080e037	lui	x0,0xa080e	  x0=0x00000000
          20524	      1014	800003e2	89c4ad97	auipc	x27,0x89c4a	 x27=0x09c4a3e2
          20584	      1017	800003e6	e91ae017	auipc	x0,0xe91ae	  x0=0x00000000
          20604	      1018	800003ea	1294	c.addi4spn	x13,x2,352	 x13=0x00000150
          20644	      1020	800003ec	717d	c.addi16sp	x2,-16	  x2:0xfffffff0  x2=0xffffffe0
          20664	      1021	800003ee	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
          20704	      1023	800003f0	45cd	c.li	x11,19	 x11=0x00000013
          20764	      1026	800003f2	40bd8033	sub	x0,x27,x11	 x27:0x09c4a3e2 x11:0x00000013  x0=0x00000000
          20824	      1029	800003f6	2384b037	lui	x0,0x2384b	  x0=0x00000000
          20884	      1032	800003fa	d71de117	auipc	x2,0xd71de	  x2=0x571de3fa
          21004	      1038	800003fe	037e9c33	mulh	x24,x29,x23	 x29:0x00000000 x23:0x00000001 x24=0x00000000
          21024	      1039	80000402	fa80b637	lui	x12,0xfa80b	 x12=0xfa80b000
          21064	      1041	80000406	5a2c8013	addi	x0,x25,1442	 x25:0x00000000  x0=0x00000000
          21124	      1044	8000040a	faa25737	lui	x14,0xfaa25	 x14=0xfaa25000
